,id,created_time,text,source,favorite_count,retweet_count,username
0,832675462325243906,2017-02-17 19:37:55,We asked. You answered. https://t.co/mAJvko6VqR,Twitter Web Client,101664,23627,BarackObama
1,831527113211645959,2017-02-14 15:34:47,"Happy Valentine’s Day, @michelleobama! Almost 28 years with you, but it always feels new. https://t.co/O0UhJWoqGN",Twitter Web Client,1057719,255894,BarackObama
2,823230505546117120,2017-01-22 18:07:02,I read letters like these every single day. It was one of the best parts of the job – hearing from you. https://t.co/so1luBcszV,Twitter Web Client,232803,35037,BarackObama
3,822553543479541761,2017-01-20 21:17:01,RT @ObamaFoundation: Add your voice: https://t.co/mA9MSHmi7o https://t.co/Uf7oEvkZF3,Twitter Web Client,0,48010,BarackObama
4,822550536469803009,2017-01-20 21:05:04,"In the meantime, I want to hear what you're thinking about the road ahead. So share your ideas with me here: https://t.co/GYkEOK8EuT",Twitter Web Client,236278,54259,BarackObama
5,822550300942856193,2017-01-20 21:04:08,"Hi everybody! Back to the original handle. Is this thing still on? Michelle and I are off on a quick vacation, then we’ll get back to work.",Twitter Web Client,1886544,447970,BarackObama
6,818966711995088896,2017-01-10 23:44:14,"Tonight, President Obama reflects on eight years of progress. Watch the #FarewellAddress at 9 pm ET: https://t.co/ZnwTsg155B #ObamaFarewell",Twitter Web Client,72127,13707,BarackObama
7,794940142867902465,2016-11-05 16:31:13,"RT @OFA: ""Thanks to the Affordable Care Act, your coverage is better today than it was before.""

Watch the weekly address: https://t.co/Pfk…",Twitter Web Client,0,3577,BarackObama
8,794926969829920768,2016-11-05 15:38:53,"In the weekly address, President Obama discusses what #Obamacare has done to improve health care. https://t.co/VdQlyrSZhx",Twitter Web Client,25718,4174,BarackObama
9,794664579834015745,2016-11-04 22:16:14,"Let's keep working to keep our economy on a better, stronger course. https://t.co/bV2BVjyj7a",Twitter Web Client,41502,9022,BarackObama
10,794606453197774849,2016-11-04 18:25:16,The landmark #ParisAgreement enters into force today—we must keep up the momentum to #ActOnClimate. https://t.co/Cyw5Udaoro,Twitter Web Client,21537,5661,BarackObama
11,794572967258640384,2016-11-04 16:12:12,"The economy added 161,000 jobs in October, and wages are up 2.8 percent over the past year. https://t.co/pJxjgLnjCt #JobsReport",Twitter Web Client,14355,3621,BarackObama
12,794283659079520256,2016-11-03 21:02:36,There are a lot of plans out there. Check your options and lock in the one that's best for you: https://t.co/buFY9ozDz4 #GetCovered,Twitter Web Client,6429,1253,BarackObama
13,794255026570993664,2016-11-03 19:08:49,"The positive impact of #Obamacare is undeniable, but there's one big factor holding many states back: https://t.co/7XebIdRX34",Twitter Web Client,8635,1564,BarackObama
14,794228145310154752,2016-11-03 17:22:00,RT @POTUS: It happened: @Cubs win World Series. That's change even this South Sider can believe in. Want to come to the White House before…,Twitter Web Client,0,74800,BarackObama
15,793881038862757888,2016-11-02 18:22:43,Tens of millions of Americans have benefited from #Obamacare. Make sure you're one of them. #GetCovered https://t.co/e1KoXcPtpU,Twitter Web Client,8674,1746,BarackObama
16,793833434850349056,2016-11-02 15:13:34,"Thanks to #Obamacare, quality health care is available to everyone. The marketplace is now open—make sure you and y… https://t.co/89gl6pzMGD",Twitter Web Client,11922,2761,BarackObama
17,793607477057228800,2016-11-02 00:15:41,RT @lacasablanca: La típica Latina tarda 22 meses en ganar lo que un hombre blanco gana en 12 meses. Tenemos que cerrar la brecha salarial.…,Twitter Web Client,0,1415,BarackObama
18,793579933201231880,2016-11-01 22:26:14,"RT @WhiteHouse: On #LatinaEqualPay Day, we mark the work that remains to ensure that all Americans receive equal pay for equal work. https:…",Twitter Web Client,0,2209,BarackObama
19,793547555204280320,2016-11-01 20:17:35,Community organizing never goes out of style. Shop now: https://t.co/LXEbQdKLLT https://t.co/E56ofoU36i,Twitter Web Client,4007,672,BarackObama
20,793511799643451392,2016-11-01 17:55:30,"With #Obamacare, people can focus on treatment for pre-existing conditions without the fear of coverage being cappe… https://t.co/jvdFY87XBu",Twitter Web Client,8442,1953,BarackObama
